   strain      stress-fit rate of hardening
       .0000     52.0600   1443.0235
       .0100     65.7250   1294.1993
       .0200     78.0194   1168.0364
       .0300     89.1464   1060.0867
       .0400     99.2704    966.9516
       .0500    108.5259    885.9969
       .0600    117.0240    815.1538
       .0700    124.8572    752.7788
       .0800    132.1034    697.5524
       .0900    138.8285    648.4045
       .1000    145.0888    604.4602
       .1100    150.9326    564.9976
       .1200    156.4017    529.4174
       .1300    161.5322    497.2178
       .1400    166.3559    467.9766
       .1500    170.9004    441.3359
       .1600    175.1902    416.9910
       .1700    179.2470    394.6809
       .1800    183.0899    374.1812
       .1900    186.7360    355.2977
       .2000    190.2007    337.8619
       .2100    193.4976    321.7270
       .2200    196.6391    306.7644
       .2300    199.6364    292.8612
       .2400    202.4995    279.9180
       .2500    205.2377    267.8468
       .2600    207.8591    256.5696
       .2700    210.3715    246.0170
       .2800    212.7817    236.1272
       .2900    215.0960    226.8448
       .3000    217.3204    218.1201
       .3100    219.4602    209.9086
       .3200    221.5202    202.1700
       .3300    223.5050    194.8681
       .3400    225.4189    187.9700
       .3500    227.2657    181.4460
       .3600    229.0490    175.2690
       .3700    230.7721    169.4143
       .3800    232.4382    163.8595
       .3900    234.0502    158.5841
       .4000    235.6108    153.5694
       .4100    237.1224    148.7980
       .4200    238.5875    144.2543
       .4300    240.0082    139.9237
       .4400    241.3867    135.7929
       .4500    242.7247    131.8494
       .4600    244.0242    128.0820
       .4700    245.2869    124.4801
       .4800    246.5143    121.0340
       .4900    247.7081    117.7347
       .5000    248.8695    114.5738
       .5100    250.0000    111.5434
       .5200    251.1008    108.6365
       .5300    252.1731    105.8462
       .5400    253.2181    103.1663
       .5500    254.2368    100.5909
       .5600    255.2302     98.1145
       .5700    256.1994     95.7321
       .5800    257.1452     93.4389
       .5900    258.0684     91.2304
       .6000    258.9700     89.1023
       .6100    259.8507     87.0508
       .6200    260.7113     85.0721
       .6300    261.5524     83.1628
       .6400    262.3748     81.3196
       .6500    263.1790     79.5395
       .6600    263.9658     77.8195
       .6700    264.7356     76.1569
       .6800    265.4891     74.5492
       .6900    266.2268     72.9938
       .7000    266.9491     71.4886
       .7100    267.6567     70.0313
       .7200    268.3499     68.6199
       .7300    269.0292     67.2524
       .7400    269.6951     65.9271
       .7500    270.3479     64.6421
       .7600    270.9881     63.3958
       .7700    271.6160     62.1866
       .7800    272.2319     61.0131
       .7900    272.8363     59.8739
       .8000    273.4295     58.7675
       .8100    274.0118     57.6927
       .8200    274.5835     56.6483
       .8300    275.1448     55.6332
       .8400    275.6962     54.6462
       .8500    276.2379     53.6863
       .8600    276.7700     52.7525
       .8700    277.2930     51.8438
       .8800    277.8070     50.9593
       .8900    278.3123     50.0982
       .9000    278.8090     49.2596
       .9100    279.2975     48.4427
       .9200    279.7780     47.6468
       .9300    280.2505     46.8711
       .9400    280.7154     46.1150
       .9500    281.1729     45.3778
       .9600    281.6231     44.6588
       .9700    282.0661     43.9575
       .9800    282.5023     43.2732
       .9900    282.9316     42.6054
      1.0000    283.3544     41.9536
      1.0100    283.7708     41.3172
      1.0200    284.1808     40.6958
      1.0300    284.5847     40.0889
      1.0400    284.9826     39.4959
      1.0500    285.3747     38.9166
      1.0600    285.7610     38.3505
      1.0700    286.1417     37.7971
      1.0800    286.5170     37.2560
      1.0900    286.8869     36.7270
      1.1000    287.2516     36.2096
      1.1100    287.6111     35.7036
      1.1200    287.9657     35.2084
      1.1300    288.3153     34.7240
      1.1400    288.6602     34.2498
      1.1500    289.0004     33.7857
      1.1600    289.3360     33.3314
      1.1700    289.6670     32.8865
      1.1800    289.9937     32.4509
      1.1900    290.3161     32.0241
      1.2000    290.6342     31.6061
      1.2100    290.9482     31.1966
      1.2200    291.2582     30.7953
      1.2300    291.5642     30.4020
      1.2400    291.8662     30.0164
      1.2500    292.1645     29.6385
      1.2600    292.4590     29.2680
      1.2700    292.7499     28.9046
      1.2800    293.0372     28.5482
      1.2900    293.3209     28.1987
      1.3000    293.6012     27.8558
      1.3100    293.8780     27.5193
      1.3200    294.1516     27.1892
      1.3300    294.4218     26.8652
      1.3400    294.6889     26.5472
      1.3500    294.9528     26.2351
      1.3600    295.2136     25.9286
      1.3700    295.4714     25.6277
      1.3800    295.7262     25.3322
      1.3900    295.9780     25.0420
      1.4000    296.2270     24.7570
      1.4100    296.4732     24.4770
      1.4200    296.7166     24.2019
      1.4300    296.9573     23.9317
      1.4400    297.1952     23.6661
      1.4500    297.4306     23.4051
      1.4600    297.6634     23.1485
      1.4700    297.8936     22.8963
      1.4800    298.1213     22.6484
      1.4900    298.3466     22.4047
      1.5000    298.5694     22.1650
      1.5100    298.7899     21.9293
      1.5200    299.0080     21.6975
      1.5300    299.2238     21.4695
      1.5400    299.4374     21.2452
      1.5500    299.6488     21.0246
      1.5600    299.8579     20.8075
      1.5700    300.0649     20.5940
      1.5800    300.2698     20.3838
      1.5900    300.4726     20.1769
      1.6000    300.6734     19.9733
      1.6100    300.8721     19.7729
      1.6200    301.0688     19.5756
      1.6300    301.2636     19.3814
      1.6400    301.4565     19.1902
      1.6500    301.6474     19.0019
      1.6600    301.8365     18.8165
      1.6700    302.0238     18.6339
      1.6800    302.2092     18.4540
      1.6900    302.3928     18.2769
      1.7000    302.5747     18.1023
      1.7100    302.7549     17.9304
      1.7200    302.9334     17.7610
      1.7300    303.1101     17.5941
      1.7400    303.2852     17.4296
      1.7500    303.4587     17.2676
      1.7600    303.6306     17.1078
